geneSymbol	geneid
DGCR2	ENSG00000070413
DGCR8	ENSG00000128191
DGKA	ENSG00000065357
DGKB	ENSG00000136267
DGKD	ENSG00000077044
DGKE	ENSG00000153933
DGKG	ENSG00000058866
DGKH	ENSG00000102780
DGKI	ENSG00000157680
DGKQ	ENSG00000145214
DGKZ	ENSG00000149091
DGUOK	ENSG00000114956
DHCR24	ENSG00000116133
DHCR7	ENSG00000172893
DHDDS	ENSG00000117682
DHODH	ENSG00000102967
DHPS	ENSG00000095059
DHRS1	ENSG00000157379
DHRS11	ENSG00000278535
DHRS12	ENSG00000102796
DHRS2	ENSG00000100867
DHRS3	ENSG00000162496
DHRS7	ENSG00000100612
DHRS7B	ENSG00000109016
DHRS9	ENSG00000073737
DHTKD1	ENSG00000181192
DHX15	ENSG00000109606
DHX16	ENSG00000204560
DHX29	ENSG00000067248
DHX30	ENSG00000132153
DHX32	ENSG00000089876
DHX34	ENSG00000134815
DHX35	ENSG00000101452
DHX38	ENSG00000140829
DHX40	ENSG00000108406
DHX57	ENSG00000163214
DHX58	ENSG00000108771
DHX8	ENSG00000067596
DHX9	ENSG00000135829
DIABLO	ENSG00000184047
DIAPH1	ENSG00000131504
DIAPH2	ENSG00000147202
DIAPH3	ENSG00000139734
DICER1	ENSG00000100697
DIDO1	ENSG00000101191
DIO1	ENSG00000211452
DIO2	ENSG00000211448
DIP2C	ENSG00000151240
DIRAS2	ENSG00000165023
DIRAS3	ENSG00000162595
DIS3	ENSG00000083520
DIXDC1	ENSG00000150764
DKC1	ENSG00000130826
DKK1	ENSG00000107984
DKK2	ENSG00000155011
DKK3	ENSG00000050165
DKK4	ENSG00000104371
DKKL1	ENSG00000104901
DLAT	ENSG00000150768
DLC1	ENSG00000164741
DLD	ENSG00000091140
DLEC1	ENSG00000008226
DLEU1	ENSG00000176124
DLG1	ENSG00000075711
DLG2	ENSG00000150672
DLG3	ENSG00000082458
DLG4	ENSG00000132535
DLG5	ENSG00000151208
DLGAP1	ENSG00000170579
DLGAP2	ENSG00000198010
DLGAP4	ENSG00000080845
DLGAP5	ENSG00000126787
DLK1	ENSG00000185559
DLK2	ENSG00000171462
DLL3	ENSG00000090932
DLST	ENSG00000119689
DLX2	ENSG00000115844
DLX4	ENSG00000108813
DLX5	ENSG00000105880
DLX6	ENSG00000006377
DMBT1	ENSG00000187908
DMC1	ENSG00000100206
DMD	ENSG00000198947
DMP1	ENSG00000152592
DMPK	ENSG00000104936
DMRT1	ENSG00000137090
DMTF1	ENSG00000135164
DMWD	ENSG00000185800
DMXL1	ENSG00000172869
DMXL2	ENSG00000104093
DNA2	ENSG00000138346
DNAH17	ENSG00000187775
DNAH2	ENSG00000183914
DNAH3	ENSG00000158486
DNAH6	ENSG00000115423
DNAH7	ENSG00000118997
DNAH9	ENSG00000007174
DNAI1	ENSG00000122735
DNAI2	ENSG00000171595
DNAJA1	ENSG00000086061
DNAJA2	ENSG00000069345
DNAJA3	ENSG00000103423
DNAJB1	ENSG00000132002
DNAJB12	ENSG00000148719
DNAJB14	ENSG00000164031
DNAJB2	ENSG00000135924
DNAJB4	ENSG00000162616
DNAJB5	ENSG00000137094
DNAJB6	ENSG00000105993
DNAJB9	ENSG00000128590
DNAJC1	ENSG00000136770
DNAJC10	ENSG00000077232
DNAJC11	ENSG00000007923
DNAJC12	ENSG00000108176
DNAJC13	ENSG00000138246
DNAJC15	ENSG00000120675
DNAJC16	ENSG00000116138
DNAJC17	ENSG00000104129
DNAJC2	ENSG00000105821
DNAJC22	ENSG00000178401
DNAJC24	ENSG00000170946
DNAJC28	ENSG00000177692
DNAJC3	ENSG00000102580
DNAJC4	ENSG00000110011
DNAJC6	ENSG00000116675
DNAJC7	ENSG00000168259
DNAJC8	ENSG00000126698
DNAJC9	ENSG00000213551
DNAL4	ENSG00000100246
DNALI1	ENSG00000163879
DNASE1	ENSG00000213918
DNASE1L1	ENSG00000013563
DNASE1L2	ENSG00000167968
DNASE1L3	ENSG00000163687
DNASE2	ENSG00000105612
DNASE2B	ENSG00000137976
DNM1	ENSG00000106976
DNM1L	ENSG00000087470
DNM2	ENSG00000079805
DNM3	ENSG00000197959
DNMBP	ENSG00000107554
DNMT1	ENSG00000130816
DNMT3A	ENSG00000119772
DNMT3B	ENSG00000088305
DNPEP	ENSG00000123992
DNTT	ENSG00000107447
DNTTIP2	ENSG00000067334
DOC2A	ENSG00000149927
DOC2B	ENSG00000272636
DOCK1	ENSG00000150760
DOCK10	ENSG00000135905
DOCK2	ENSG00000134516
DOCK3	ENSG00000088538
DOCK4	ENSG00000128512
DOCK5	ENSG00000147459
DOCK6	ENSG00000130158
DOCK9	ENSG00000088387
DOHH	ENSG00000129932
DOK1	ENSG00000115325
DOK2	ENSG00000147443
DOK3	ENSG00000146094
DOK4	ENSG00000125170
DOK5	ENSG00000101134
DOLK	ENSG00000175283
DOLPP1	ENSG00000167130
DONSON	ENSG00000159147
DOT1L	ENSG00000104885
DPAGT1	ENSG00000172269
DPEP1	ENSG00000015413
DPEP2	ENSG00000167261
DPEP3	ENSG00000141096
DPF1	ENSG00000011332
DPF2	ENSG00000133884
DPF3	ENSG00000205683
DPH2	ENSG00000132768
DPH5	ENSG00000117543
DPM1	ENSG00000000419
DPM2	ENSG00000136908
DPM3	ENSG00000179085
DPP3	ENSG00000254986
DPP4	ENSG00000197635
DPP6	ENSG00000130226
DPP8	ENSG00000074603
DPPA4	ENSG00000121570
DPT	ENSG00000143196
DPY19L4	ENSG00000156162
DPYD	ENSG00000188641
DPYS	ENSG00000147647
DPYSL2	ENSG00000092964
DPYSL3	ENSG00000113657
DPYSL4	ENSG00000151640
DR1	ENSG00000117505
DRAM1	ENSG00000136048
DRAP1	ENSG00000175550
DRD1	ENSG00000184845
DRD2	ENSG00000149295
DRD4	ENSG00000069696
DRD5	ENSG00000169676
DRG1	ENSG00000185721
DRG2	ENSG00000108591
DRP2	ENSG00000102385
DSC1	ENSG00000134765
DSC2	ENSG00000134755
DSC3	ENSG00000134762
DSCAM	ENSG00000171587
DSCC1	ENSG00000136982
DSCR4	ENSG00000184029
DSE	ENSG00000111817
DSG1	ENSG00000134760
DSG2	ENSG00000046604
DSG3	ENSG00000134757
DSN1	ENSG00000149636
DSP	ENSG00000096696
DST	ENSG00000151914
DSTN	ENSG00000125868
DSTYK	ENSG00000133059
DTL	ENSG00000143476
DTNA	ENSG00000134769
DTNB	ENSG00000138101
DTWD1	ENSG00000104047
DTX3	ENSG00000178498
DTX4	ENSG00000110042
DTYMK	ENSG00000168393
DUOX1	ENSG00000137857
DUOX2	ENSG00000140279
DUS1L	ENSG00000169718
DUS4L	ENSG00000105865
DUSP1	ENSG00000120129
DUSP10	ENSG00000143507
DUSP11	ENSG00000144048
DUSP12	ENSG00000081721
DUSP13	ENSG00000079393
DUSP14	ENSG00000276023
DUSP2	ENSG00000158050
DUSP21	ENSG00000189037
DUSP22	ENSG00000112679
DUSP26	ENSG00000133878
DUSP3	ENSG00000108861
DUSP4	ENSG00000120875
DUSP5	ENSG00000138166
DUSP6	ENSG00000139318
DUSP7	ENSG00000164086
DUSP8	ENSG00000184545
DUSP9	ENSG00000130829
DUT	ENSG00000128951
DVL1	ENSG00000107404
DVL2	ENSG00000004975
DVL3	ENSG00000161202
DYNC1H1	ENSG00000197102
DYNC1I1	ENSG00000158560
DYNC1LI1	ENSG00000144635
DYNC1LI2	ENSG00000135720
DYNC2H1	ENSG00000187240
DYNC2LI1	ENSG00000138036
DYNLL1	ENSG00000088986
DYNLRB1	ENSG00000125971
DYNLT1	ENSG00000146425
DYNLT3	ENSG00000165169
DYRK1A	ENSG00000157540
DYRK1B	ENSG00000105204
DYRK2	ENSG00000127334
DYRK3	ENSG00000143479
DYRK4	ENSG00000010219
DYSF	ENSG00000135636
DZIP1	ENSG00000134874
DZIP3	ENSG00000198919
E2F1	ENSG00000101412
E2F2	ENSG00000007968
E2F3	ENSG00000112242
E2F4	ENSG00000205250
E2F5	ENSG00000133740
E2F8	ENSG00000129173
E4F1	ENSG00000167967
EAF2	ENSG00000145088
EAPP	ENSG00000129518
EBAG9	ENSG00000147654
EBF2	ENSG00000221818
EBI3	ENSG00000105246
EBNA1BP2	ENSG00000117395
EBP	ENSG00000147155
ECD	ENSG00000122882
ECE1	ENSG00000117298
ECE2	ENSG00000145194
ECEL1	ENSG00000171551
ECH1	ENSG00000104823
ECHDC1	ENSG00000093144
ECHDC2	ENSG00000121310
ECHDC3	ENSG00000134463
ECHS1	ENSG00000127884
ECM1	ENSG00000143369
ECM2	ENSG00000106823
ECSIT	ENSG00000130159
ECT2	ENSG00000114346
EDA	ENSG00000158813
EDA2R	ENSG00000131080
EDAR	ENSG00000135960
EDC3	ENSG00000179151
EDC4	ENSG00000038358
EDDM3A	ENSG00000181562
EDDM3B	ENSG00000181552
EDEM1	ENSG00000134109
EDEM2	ENSG00000088298
EDEM3	ENSG00000116406
EDF1	ENSG00000107223
EDIL3	ENSG00000164176
EDN1	ENSG00000078401
EDN2	ENSG00000127129
EDN3	ENSG00000124205
EDNRA	ENSG00000151617
EDNRB	ENSG00000136160
EEA1	ENSG00000102189
EED	ENSG00000074266
EEF1A2	ENSG00000101210
EEF1D	ENSG00000104529
EEF1E1	ENSG00000124802
EEF2	ENSG00000167658
EFCAB1	ENSG00000034239
EFCAB2	ENSG00000203666
EFCAB6	ENSG00000186976
EFEMP1	ENSG00000115380
EFEMP2	ENSG00000172638
EFHC1	ENSG00000096093
EFHC2	ENSG00000183690
EFHD1	ENSG00000115468
EFHD2	ENSG00000142634
EFNA1	ENSG00000169242
EFNA2	ENSG00000099617
EFNA3	ENSG00000143590
EFNA4	ENSG00000243364
EFNA5	ENSG00000184349
EFNB1	ENSG00000090776
EFNB3	ENSG00000108947
EFR3A	ENSG00000132294
EFS	ENSG00000100842
EGF	ENSG00000138798
EGFL6	ENSG00000198759
EGFL7	ENSG00000172889
EGFR	ENSG00000146648
EGLN1	ENSG00000135766
EGLN3	ENSG00000129521
EGOT	ENSG00000235947
EGR1	ENSG00000120738
EGR2	ENSG00000122877
EGR3	ENSG00000179388
EGR4	ENSG00000135625
EHBP1	ENSG00000115504
EHBP1L1	ENSG00000173442
EHD1	ENSG00000110047
EHD2	ENSG00000024422
EHD3	ENSG00000013016
EHD4	ENSG00000103966
EHF	ENSG00000135373
EHHADH	ENSG00000113790
EHMT1	ENSG00000181090
EHMT2	ENSG00000204371
EI24	ENSG00000149547
EID1	ENSG00000255302
EIF1	ENSG00000173812
EIF1AX	ENSG00000173674
EIF1AY	ENSG00000198692
EIF1B	ENSG00000114784
EIF2AK1	ENSG00000086232
EIF2AK2	ENSG00000055332
EIF2AK3	ENSG00000172071
EIF2B1	ENSG00000111361
EIF2B2	ENSG00000119718
EIF2B3	ENSG00000070785
EIF2B4	ENSG00000115211
EIF2B5	ENSG00000145191
EIF2S1	ENSG00000134001
EIF2S2	ENSG00000125977
EIF3A	ENSG00000107581
EIF3B	ENSG00000106263
EIF3D	ENSG00000100353
EIF3E	ENSG00000104408
EIF3G	ENSG00000130811
EIF3H	ENSG00000147677
EIF3I	ENSG00000084623
EIF3J	ENSG00000104131
EIF3K	ENSG00000178982
EIF3L	ENSG00000100129
EIF3M	ENSG00000149100
EIF4A2	ENSG00000156976
EIF4A3	ENSG00000141543
EIF4E	ENSG00000151247
EIF4E2	ENSG00000135930
EIF4EBP1	ENSG00000187840
EIF4EBP2	ENSG00000148730
EIF4ENIF1	ENSG00000184708
EIF4G1	ENSG00000114867
EIF4G2	ENSG00000110321
EIF4G3	ENSG00000075151
EIF5	ENSG00000100664
EIF5A	ENSG00000132507
EIF5A2	ENSG00000163577
EIF5B	ENSG00000158417
EIF6	ENSG00000242372
ELAC2	ENSG00000006744
ELANE	ENSG00000197561
ELAVL1	ENSG00000066044
ELAVL2	ENSG00000107105
ELAVL3	ENSG00000196361
ELAVL4	ENSG00000162374
ELF1	ENSG00000120690
ELF2	ENSG00000109381
ELF3	ENSG00000163435
ELF4	ENSG00000102034
ELF5	ENSG00000135374
ELK1	ENSG00000126767
ELK3	ENSG00000111145
ELK4	ENSG00000158711
ELL	ENSG00000105656
ELL2	ENSG00000118985
ELL3	ENSG00000128886
ELMO1	ENSG00000155849
ELMO2	ENSG00000062598
ELMO3	ENSG00000102890
ELN	ENSG00000049540
ELOVL1	ENSG00000066322
ELOVL2	ENSG00000197977
ELOVL4	ENSG00000118402
ELOVL5	ENSG00000012660
ELOVL6	ENSG00000170522
ELP3	ENSG00000134014
ELP4	ENSG00000109911
ELSPBP1	ENSG00000169393
EMCN	ENSG00000164035
EMD	ENSG00000102119
EMG1	ENSG00000126749
EMID1	ENSG00000186998
EMILIN1	ENSG00000138080
EML1	ENSG00000066629
EML2	ENSG00000125746
EML3	ENSG00000149499
EML4	ENSG00000143924
EMP1	ENSG00000134531
EMP2	ENSG00000213853
EMP3	ENSG00000142227
EMX1	ENSG00000135638
EMX2	ENSG00000170370
EN1	ENSG00000163064
EN2	ENSG00000164778
ENAH	ENSG00000154380
ENC1	ENSG00000171617
ENDOD1	ENSG00000149218
ENDOG	ENSG00000167136
ENDOU	ENSG00000111405
ENG	ENSG00000106991
ENGASE	ENSG00000167280
ENO1	ENSG00000074800
ENO2	ENSG00000111674
ENO3	ENSG00000108515
ENOPH1	ENSG00000145293
ENOSF1	ENSG00000132199
ENOX1	ENSG00000120658
ENOX2	ENSG00000165675
ENPEP	ENSG00000138792
ENPP1	ENSG00000197594
ENPP2	ENSG00000136960
ENPP4	ENSG00000001561
ENSA	ENSG00000143420
ENTPD1	ENSG00000138185
ENTPD2	ENSG00000054179
ENTPD3	ENSG00000168032
ENTPD4	ENSG00000197217
ENTPD5	ENSG00000187097
ENTPD6	ENSG00000197586
ENTPD7	ENSG00000198018
ENY2	ENSG00000120533
EP300	ENSG00000100393
EP400	ENSG00000183495
EPAS1	ENSG00000116016
EPB41	ENSG00000159023
EPB41L1	ENSG00000088367
EPB41L2	ENSG00000079819
EPB41L3	ENSG00000082397
EPB41L4A	ENSG00000129595
EPB41L4B	ENSG00000095203
EPB41L5	ENSG00000115109
EPB42	ENSG00000166947
EPCAM	ENSG00000119888
EPHA1	ENSG00000146904
EPHA2	ENSG00000142627
EPHA3	ENSG00000044524
EPHA4	ENSG00000116106
EPHA5	ENSG00000145242
EPHA7	ENSG00000135333
EPHB1	ENSG00000154928
EPHB2	ENSG00000133216
EPHB3	ENSG00000182580
EPHB4	ENSG00000196411
EPHB6	ENSG00000106123
EPHX1	ENSG00000143819
EPHX2	ENSG00000120915
EPHX3	ENSG00000105131
EPM2A	ENSG00000112425
EPN1	ENSG00000063245
EPN2	ENSG00000072134
EPN3	ENSG00000049283
EPO	ENSG00000130427
EPOR	ENSG00000187266
EPPK1	ENSG00000261150
EPRS	ENSG00000136628
EPS15	ENSG00000085832
EPS15L1	ENSG00000127527
EPS8	ENSG00000151491
EPS8L1	ENSG00000131037
EPS8L2	ENSG00000177106
EPS8L3	ENSG00000198758
EPX	ENSG00000121053
EPYC	ENSG00000083782
ERAL1	ENSG00000132591
ERAP1	ENSG00000164307
ERAP2	ENSG00000164308
ERBB2	ENSG00000141736
ERBB3	ENSG00000065361
ERBB4	ENSG00000178568
ERC1	ENSG00000082805
ERC2	ENSG00000187672
ERCC1	ENSG00000012061
ERCC2	ENSG00000104884
ERCC3	ENSG00000163161
ERCC4	ENSG00000175595
ERCC6L	ENSG00000186871
ERCC8	ENSG00000049167
EREG	ENSG00000124882
ERF	ENSG00000105722
ERG	ENSG00000157554
ERGIC2	ENSG00000087502
ERGIC3	ENSG00000125991
ERH	ENSG00000100632
ERI2	ENSG00000196678
ERI3	ENSG00000117419
ERICH1	ENSG00000104714
ERLIN1	ENSG00000107566
ERLIN2	ENSG00000147475
ERMAP	ENSG00000164010
ERMP1	ENSG00000099219
ERN1	ENSG00000178607
ERN2	ENSG00000134398
ERP29	ENSG00000089248
ERP44	ENSG00000023318
ESD	ENSG00000139684
ESF1	ENSG00000089048
ESM1	ENSG00000164283
ESPL1	ENSG00000135476
ESR1	ENSG00000091831
ESR2	ENSG00000140009
ESRP1	ENSG00000104413
ESRP2	ENSG00000103067
ESRRA	ENSG00000173153
ESRRG	ENSG00000196482
ESYT1	ENSG00000139641
ETAA1	ENSG00000143971
ETF1	ENSG00000120705
ETFA	ENSG00000140374
ETFB	ENSG00000105379
ETFDH	ENSG00000171503
ETHE1	ENSG00000105755
ETNK1	ENSG00000139163
ETNK2	ENSG00000143845
ETS1	ENSG00000134954
ETS2	ENSG00000157557
ETV1	ENSG00000006468
ETV2	ENSG00000105672
ETV3	ENSG00000117036
ETV4	ENSG00000175832
ETV5	ENSG00000244405
ETV6	ENSG00000139083
ETV7	ENSG00000010030
EVC	ENSG00000072840
EVI2A	ENSG00000126860
EVI2B	ENSG00000185862
EVI5	ENSG00000067208
EVL	ENSG00000196405
EVPL	ENSG00000167880
EVX1	ENSG00000106038
EWSR1	ENSG00000182944
EXD2	ENSG00000081177
EXD3	ENSG00000187609
EXO1	ENSG00000174371
EXOC1	ENSG00000090989
EXOC2	ENSG00000112685
EXOC3	ENSG00000180104
EXOC5	ENSG00000070367
EXOC6B	ENSG00000144036
EXOC7	ENSG00000182473
EXOG	ENSG00000157036
EXOSC10	ENSG00000171824
EXOSC2	ENSG00000130713
EXOSC4	ENSG00000178896
EXOSC5	ENSG00000077348
EXOSC7	ENSG00000075914
EXOSC8	ENSG00000120699
EXOSC9	ENSG00000123737
EXPH5	ENSG00000110723
EXT1	ENSG00000182197
EXT2	ENSG00000151348
EXTL1	ENSG00000158008
EXTL2	ENSG00000162694
EXTL3	ENSG00000012232
EYA1	ENSG00000104313
EYA2	ENSG00000064655
EYA3	ENSG00000158161
EYA4	ENSG00000112319
EZH1	ENSG00000108799
EZH2	ENSG00000106462
EZR	ENSG00000092820
F10	ENSG00000126218
F11	ENSG00000088926
F11R	ENSG00000158769
F12	ENSG00000131187
F13A1	ENSG00000124491
F13B	ENSG00000143278
F2	ENSG00000180210
F2R	ENSG00000181104
F2RL1	ENSG00000164251
F2RL2	ENSG00000164220
F3	ENSG00000117525
F5	ENSG00000198734
F7	ENSG00000057593
F8	ENSG00000185010
F9	ENSG00000101981
FA2H	ENSG00000103089
FAAH	ENSG00000117480
FABP1	ENSG00000163586
FABP2	ENSG00000145384
FABP3	ENSG00000121769
FABP4	ENSG00000170323
FABP6	ENSG00000170231
FABP7	ENSG00000164434
FADD	ENSG00000168040
FADS1	ENSG00000149485
FADS2	ENSG00000134824
FADS3	ENSG00000221968
FAF1	ENSG00000185104
FAF2	ENSG00000113194
FAH	ENSG00000103876
FAHD2A	ENSG00000115042
FAIM	ENSG00000158234
FAIM2	ENSG00000135472
FAM102A	ENSG00000167106
FAM107A	ENSG00000168309
FAM110B	ENSG00000169122
FAM111A	ENSG00000166801
FAM114A1	ENSG00000197712
FAM114A2	ENSG00000055147
FAM117A	ENSG00000121104
FAM118A	ENSG00000100376
FAM120A	ENSG00000048828
FAM120C	ENSG00000184083
FAM124B	ENSG00000124019
FAM131A	ENSG00000175182
FAM131B	ENSG00000159784
FAM135A	ENSG00000082269
FAM136A	ENSG00000035141
FAM13A	ENSG00000138640
FAM13B	ENSG00000031003
FAM149A	ENSG00000109794
FAM149B1	ENSG00000138286
FAM155A	ENSG00000204442
FAM160B2	ENSG00000158863
FAM162A	ENSG00000114023
FAM163A	ENSG00000143340
FAM168A	ENSG00000054965
FAM168B	ENSG00000152102
FAM169A	ENSG00000198780
FAM171A1	ENSG00000148468
FAM172A	ENSG00000113391
FAM174B	ENSG00000185442
FAM184A	ENSG00000111879
FAM189A1	ENSG00000104059
FAM189B	ENSG00000160767
FAM192A	ENSG00000172775
FAM193B	ENSG00000146067
FAM20B	ENSG00000116199
FAM32A	ENSG00000105058
FAM3A	ENSG00000071889
FAM49A	ENSG00000197872
FAM49B	ENSG00000153310
FAM50A	ENSG00000071859
FAM50B	ENSG00000145945
FAM53B	ENSG00000189319
FAM53C	ENSG00000120709
FAM76A	ENSG00000009780
FAM89B	ENSG00000176973
FAM8A1	ENSG00000137414
FAM98A	ENSG00000119812
FANCA	ENSG00000187741
FANCC	ENSG00000158169
FANCE	ENSG00000112039
FANCF	ENSG00000183161
FANCG	ENSG00000221829
FANCI	ENSG00000140525
FANCL	ENSG00000115392
FAP	ENSG00000078098
FAR2	ENSG00000064763
FARP1	ENSG00000152767
FARP2	ENSG00000006607
FARS2	ENSG00000145982
FARSA	ENSG00000179115
FAS	ENSG00000026103
FASLG	ENSG00000117560
FASN	ENSG00000169710
FASTK	ENSG00000164896
FASTKD1	ENSG00000138399
FASTKD2	ENSG00000118246
FASTKD3	ENSG00000124279
FAT1	ENSG00000083857
FAT2	ENSG00000086570
FAU	ENSG00000149806
FBL	ENSG00000105202
FBLN1	ENSG00000077942
FBLN2	ENSG00000163520
FBLN5	ENSG00000140092
FBN1	ENSG00000166147
FBN2	ENSG00000138829
FBP1	ENSG00000165140
FBP2	ENSG00000130957
FBRS	ENSG00000156860
FBXL12	ENSG00000127452
FBXL15	ENSG00000107872
FBXL18	ENSG00000155034
FBXL2	ENSG00000153558
FBXL4	ENSG00000112234
FBXL5	ENSG00000118564
FBXL6	ENSG00000182325
FBXL7	ENSG00000183580
FBXL8	ENSG00000135722
FBXO11	ENSG00000138081
FBXO2	ENSG00000116661
FBXO21	ENSG00000135108
FBXO22	ENSG00000167196
FBXO24	ENSG00000106336
FBXO28	ENSG00000143756
FBXO3	ENSG00000110429
FBXO31	ENSG00000103264
FBXO34	ENSG00000178974
FBXO38	ENSG00000145868
FBXO40	ENSG00000163833
FBXO41	ENSG00000163013
FBXO42	ENSG00000037637
FBXO46	ENSG00000177051
FBXO5	ENSG00000112029
FBXO7	ENSG00000100225
FBXO9	ENSG00000112146
FBXW11	ENSG00000072803
FBXW2	ENSG00000119402
FBXW4	ENSG00000107829
FBXW7	ENSG00000109670
FCAR	ENSG00000186431
FCER1A	ENSG00000179639
FCER1G	ENSG00000158869
FCER2	ENSG00000104921
FCF1	ENSG00000119616
FCGBP	ENSG00000275395
FCGR3B	ENSG00000162747
FCGRT	ENSG00000104870
FCHO1	ENSG00000130475
FCHSD2	ENSG00000137478
FCN1	ENSG00000085265
FCN2	ENSG00000160339
FCN3	ENSG00000142748
FCRL2	ENSG00000132704
FDFT1	ENSG00000079459
FDPS	ENSG00000160752
FDX1	ENSG00000137714
FDXR	ENSG00000161513
FECH	ENSG00000066926
FEM1B	ENSG00000169018
FEM1C	ENSG00000145780
FEN1	ENSG00000168496
FER	ENSG00000151422
FERMT1	ENSG00000101311
FERMT2	ENSG00000073712
FES	ENSG00000182511
FETUB	ENSG00000090512
FEV	ENSG00000163497
FEZ1	ENSG00000149557
FEZ2	ENSG00000171055
FEZF2	ENSG00000153266
FFAR2	ENSG00000126262
FGA	ENSG00000171560
FGB	ENSG00000171564
FGD1	ENSG00000102302
FGD6	ENSG00000180263
FGF1	ENSG00000113578
FGF12	ENSG00000114279
FGF13	ENSG00000129682
FGF14	ENSG00000102466
FGF17	ENSG00000158815
FGF18	ENSG00000156427
FGF2	ENSG00000138685
FGF20	ENSG00000078579
FGF21	ENSG00000105550
FGF23	ENSG00000118972
FGF3	ENSG00000186895
FGF5	ENSG00000138675
FGF6	ENSG00000111241
FGF7	ENSG00000140285
FGF8	ENSG00000107831
FGF9	ENSG00000102678
FGFBP1	ENSG00000137440
FGFR1	ENSG00000077782
FGFR1OP	ENSG00000213066
FGFR2	ENSG00000066468
FGFR3	ENSG00000068078
FGFR4	ENSG00000160867
FGG	ENSG00000171557
FGGY	ENSG00000172456
FGL1	ENSG00000104760
FGL2	ENSG00000127951
FGR	ENSG00000000938
FH	ENSG00000091483
FHIT	ENSG00000189283
FHL1	ENSG00000022267
FHL2	ENSG00000115641
FHL3	ENSG00000183386
FHL5	ENSG00000112214
FHOD1	ENSG00000135723
FHOD3	ENSG00000134775
FIBP	ENSG00000172500
FICD	ENSG00000198855
FIG4	ENSG00000112367
FILIP1L	ENSG00000168386
FIP1L1	ENSG00000145216
FIS1	ENSG00000214253
FJX1	ENSG00000179431
FKBP10	ENSG00000141756
FKBP11	ENSG00000134285
FKBP14	ENSG00000106080
FKBP15	ENSG00000119321
FKBP1A	ENSG00000088832
FKBP1B	ENSG00000119782
FKBP2	ENSG00000173486
FKBP3	ENSG00000100442
FKBP4	ENSG00000004478
FKBP5	ENSG00000096060
FKBP6	ENSG00000077800
FKBP8	ENSG00000105701
FKBPL	ENSG00000204315
FKRP	ENSG00000181027
FKTN	ENSG00000106692
FLAD1	ENSG00000160688
FLG	ENSG00000143631
FLI1	ENSG00000151702
FLII	ENSG00000177731
FLNA	ENSG00000196924
FLNB	ENSG00000136068
FLNC	ENSG00000128591
FLOT1	ENSG00000137312
FLOT2	ENSG00000132589
FLRT2	ENSG00000185070
FLRT3	ENSG00000125848
FLT1	ENSG00000102755
FLT3	ENSG00000122025
FLT3LG	ENSG00000090554
FLT4	ENSG00000037280
FLVCR2	ENSG00000119686
FMNL1	ENSG00000184922
FMO1	ENSG00000010932
FMO2	ENSG00000094963
FMO3	ENSG00000007933
FMO4	ENSG00000076258
FMO5	ENSG00000131781
FMO6P	ENSG00000117507
FMOD	ENSG00000122176
FMR1	ENSG00000102081
FN1	ENSG00000115414
FN3K	ENSG00000167363
FN3KRP	ENSG00000141560
FNBP1	ENSG00000187239
FNBP1L	ENSG00000137942
FNBP4	ENSG00000109920
FNDC3A	ENSG00000102531
FNDC3B	ENSG00000075420
FNDC4	ENSG00000115226
FNDC8	ENSG00000073598
FNTA	ENSG00000168522
FOLR1	ENSG00000110195
FOLR2	ENSG00000165457
FOLR3	ENSG00000110203
FOS	ENSG00000170345
FOSB	ENSG00000125740
FOSL1	ENSG00000175592
FOSL2	ENSG00000075426
FOXA1	ENSG00000129514
FOXA2	ENSG00000125798
FOXB1	ENSG00000171956
FOXC1	ENSG00000054598
FOXC2	ENSG00000176692
FOXD1	ENSG00000251493
FOXD2	ENSG00000186564
FOXD3	ENSG00000187140
FOXE1	ENSG00000178919
FOXE3	ENSG00000186790
FOXF1	ENSG00000103241
FOXF2	ENSG00000137273
FOXG1	ENSG00000176165
FOXH1	ENSG00000160973
FOXI1	ENSG00000168269
FOXJ1	ENSG00000129654
FOXJ2	ENSG00000065970
FOXJ3	ENSG00000198815
FOXK2	ENSG00000141568
FOXL1	ENSG00000176678
FOXL2	ENSG00000183770
FOXM1	ENSG00000111206
FOXN1	ENSG00000109101
FOXN2	ENSG00000170802
FOXN3	ENSG00000053254
FOXO1	ENSG00000150907
FOXO3	ENSG00000118689
FOXO4	ENSG00000184481
FOXP3	ENSG00000049768
FOXRED2	ENSG00000100350
FPGS	ENSG00000136877
FPGT	ENSG00000254685
FPR1	ENSG00000171051
FPR2	ENSG00000171049
FPR3	ENSG00000187474
FRAS1	ENSG00000138759
FRAT1	ENSG00000165879
FRAT2	ENSG00000181274
FRK	ENSG00000111816
FRMD1	ENSG00000153303
FRMD4A	ENSG00000151474
FRMD4B	ENSG00000114541
FRMD8	ENSG00000126391
FRMPD1	ENSG00000070601
FRMPD4	ENSG00000169933
FRS2	ENSG00000166225
FRS3	ENSG00000137218
FRY	ENSG00000073910
FRYL	ENSG00000075539
FRZB	ENSG00000162998
FSCN1	ENSG00000075618
FSCN2	ENSG00000186765
FSCN3	ENSG00000106328
FSD1	ENSG00000105255
FSHB	ENSG00000131808
FSHR	ENSG00000170820
FST	ENSG00000134363
FSTL1	ENSG00000163430
FSTL3	ENSG00000070404
FSTL4	ENSG00000053108
FTCD	ENSG00000160282
FTH1	ENSG00000167996
FTL	ENSG00000087086
FTO	ENSG00000140718
FTSJ1	ENSG00000068438
